,Protein,Number_of_detected_peptides
1771,MPLKI_HUMAN,5
1772,MPRI_HUMAN,5
1773,MRE11_HUMAN,5
1774,MSD2_HUMAN,5
1775,MTA2_HUMAN,5
1776,MTA70_HUMAN,5
1777,MTMRE_HUMAN,5
1778,MYCN_HUMAN,5
1779,MYO1F_HUMAN,5
1780,N4BP3_HUMAN,5
1781,NAB1_HUMAN,5
1782,NADK_HUMAN,5
1783,NCOA1_HUMAN,5
1784,NCOA2_HUMAN,5
1785,NEDD1_HUMAN,5
1786,NFKB1_HUMAN,5
1787,NFRKB_HUMAN,5
1788,NHRF2_HUMAN,5
1789,NKAP_HUMAN,5
1790,NR2C2_HUMAN,5
1791,NSE4A_HUMAN,5
1792,NUMBL_HUMAN,5
1793,NUP93_HUMAN,5
1794,OSB10_HUMAN,5
1795,OTUB1_HUMAN,5
1796,P4R3A_HUMAN,5
1797,PACN2_HUMAN,5
1798,PAGR1_HUMAN,5
1799,PAR6B_HUMAN,5
1800,PARK7_HUMAN,5
1801,PBX2_HUMAN,5
1802,PCIF1_HUMAN,5
1803,PDS5A_HUMAN,5
1804,PEPL_HUMAN,5
1805,PEX19_HUMAN,5
1806,PFKAP_HUMAN,5
1807,PGM1_HUMAN,5
1808,PHC1_HUMAN,5
1809,PLAK_HUMAN,5
1810,PP1RA_HUMAN,5
1811,PRD14_HUMAN,5
1812,PRDX3_HUMAN,5
1813,PRIC1_HUMAN,5
1814,PRKRA_HUMAN,5
1815,PROM2_HUMAN,5
1816,PRR11_HUMAN,5
1817,PRR36_HUMAN,5
1818,PRRT3_HUMAN,5
1819,PRS8_HUMAN,5
1820,PTBP2_HUMAN,5
1821,PTBP3_HUMAN,5
1822,PYGO2_HUMAN,5
1823,QCR1_HUMAN,5
1824,R113A_HUMAN,5
1825,RBM4_HUMAN,5
1826,RBMX2_HUMAN,5
1827,RCOR2_HUMAN,5
1828,RFA1_HUMAN,5
1829,RFIP2_HUMAN,5
1830,RFX1_HUMAN,5
1831,RGAP1_HUMAN,5
1832,RGPD4_HUMAN,5
1833,RHG32_HUMAN,5
1834,RIMS2_HUMAN,5
1835,RIPK2_HUMAN,5
1836,RIR2_HUMAN,5
1837,RL14_HUMAN,5
1838,RL23_HUMAN,5
1839,RL34_HUMAN,5
1840,RL35A_HUMAN,5
1841,RL38_HUMAN,5
1842,RLA1_HUMAN,5
1843,RN214_HUMAN,5
1844,RN219_HUMAN,5
1845,RNF12_HUMAN,5
1846,RPAP3_HUMAN,5
1847,RRP12_HUMAN,5
1848,RRP15_HUMAN,5
1849,RS15_HUMAN,5
1850,RS16_HUMAN,5
1851,RS17_HUMAN,5
1852,RS25_HUMAN,5
1853,RS28_HUMAN,5
1854,RU2A_HUMAN,5
1855,RUVB2_HUMAN,5
1856,SAS10_HUMAN,5
1857,SEPT6_HUMAN,5
1858,SERC_HUMAN,5
1859,SET1A_HUMAN,5
1860,SET1B_HUMAN,5
1861,SFR15_HUMAN,5
1862,SGTA_HUMAN,5
1863,SH3B4_HUMAN,5
1864,SIK2_HUMAN,5
1865,SKAP2_HUMAN,5
1866,SMAP2_HUMAN,5
1867,SMC3_HUMAN,5
1868,SMD3_HUMAN,5
1869,SMG8_HUMAN,5
1870,SNRK_HUMAN,5
1871,SNX1_HUMAN,5
1872,SNX3_HUMAN,5
1873,SOX11_HUMAN,5
1874,SP1_HUMAN,5
1875,SPEG_HUMAN,5
1876,SPICE_HUMAN,5
1877,SPSY_HUMAN,5
1878,SRGP1_HUMAN,5
1879,SRPR_HUMAN,5
1880,SSBP3_HUMAN,5
1881,SSF1_HUMAN,5
1882,SSFA2_HUMAN,5
1883,STK3_HUMAN,5
1884,STMN2_HUMAN,5
1885,STXB5_HUMAN,5
1886,SUZ12_HUMAN,5
1887,SYYC_HUMAN,5
1888,T132A_HUMAN,5
1889,TAF7_HUMAN,5
1890,TASOR_HUMAN,5
1891,TAXB1_HUMAN,5
1892,TBB6_HUMAN,5
1893,TBC16_HUMAN,5
1894,TBC9B_HUMAN,5
1895,TCP4_HUMAN,5
1896,TE2IP_HUMAN,5
1897,TF3C4_HUMAN,5
1898,TFAP4_HUMAN,5
1899,TFE2_HUMAN,5
1900,TFG_HUMAN,5
1901,THUM1_HUMAN,5
1902,TITIN_HUMAN,5
1903,TLE1_HUMAN,5
1904,TMCC1_HUMAN,5
1905,TNR6A_HUMAN,5
1906,TRI16_HUMAN,5
1907,TRIPB_HUMAN,5
1908,TTC1_HUMAN,5
1909,TTC7A_HUMAN,5
1910,TTK_HUMAN,5
1911,TTL12_HUMAN,5
1912,TTYH3_HUMAN,5
1913,TUT4_HUMAN,5
1914,TXN4A_HUMAN,5
1915,U2AF1_HUMAN,5
1916,UBC_HUMAN,5
1917,UBN2_HUMAN,5
1918,UBQL4_HUMAN,5
1919,UCKL1_HUMAN,5
1920,VCIP1_HUMAN,5
1921,VIP1_HUMAN,5
1922,VIP2_HUMAN,5
1923,VRK3_HUMAN,5
1924,WDR1_HUMAN,5
1925,WDR33_HUMAN,5
1926,WDR7_HUMAN,5
1927,WWC3_HUMAN,5
1928,YLPM1_HUMAN,5
1929,YS003_HUMAN,5
1930,YTHD1_HUMAN,5
1931,YTHD3_HUMAN,5
1932,ZBT7B_HUMAN,5
1933,ZN281_HUMAN,5
1934,ZN335_HUMAN,5
1935,ZN516_HUMAN,5
1936,ZN532_HUMAN,5
1937,ZN768_HUMAN,5
1938,1433F_HUMAN,4
1939,AAPK1_HUMAN,4
1940,AAPK2_HUMAN,4
1941,ABL1_HUMAN,4
1942,ADK_HUMAN,4
1943,AGAP3_HUMAN,4
1944,AGM1_HUMAN,4
1945,AHNK2_HUMAN,4
1946,AHSA1_HUMAN,4
1947,AKA10_HUMAN,4
1948,AKAP8_HUMAN,4
1949,AKIR2_HUMAN,4
1950,AL9A1_HUMAN,4
1951,ALS2_HUMAN,4
1952,ANK2_HUMAN,4
1953,ANK3_HUMAN,4
1954,AP2M1_HUMAN,4
1955,API5_HUMAN,4
1956,ARAP1_HUMAN,4
1957,ARF4_HUMAN,4
1958,ARHGC_HUMAN,4
1959,ARI4A_HUMAN,4
1960,ARPC4_HUMAN,4
1961,ARRB1_HUMAN,4
1962,ASPC1_HUMAN,4
1963,AT131_HUMAN,4
1964,ATF2_HUMAN,4
1965,ATPG_HUMAN,4
1966,ATRIP_HUMAN,4
1967,AVL9_HUMAN,4
1968,BARD1_HUMAN,4
1969,BC11B_HUMAN,4
1970,BCKD_HUMAN,4
1971,BIG3_HUMAN,4
1972,BIRC6_HUMAN,4
1973,BMP2K_HUMAN,4
1974,BRD2_HUMAN,4
1975,BRD9_HUMAN,4
1976,BUB1B_HUMAN,4
1977,BYST_HUMAN,4
1978,CALM_HUMAN,4
1979,CAPS1_HUMAN,4
1980,CATA_HUMAN,4
1981,CB044_HUMAN,4
1982,CBY1_HUMAN,4
1983,CCAR1_HUMAN,4
1984,CD81_HUMAN,4
1985,CDC23_HUMAN,4
1986,CDC6_HUMAN,4
1987,CDK3_HUMAN,4
1988,CDR2_HUMAN,4
1989,CDT1_HUMAN,4
1990,CE192_HUMAN,4
1991,CE290_HUMAN,4
1992,CE350_HUMAN,4
1993,CENPJ_HUMAN,4
1994,CF106_HUMAN,4
1995,CHD1L_HUMAN,4
1996,CHD2_HUMAN,4
1997,CIC_HUMAN,4
1998,CK5P2_HUMAN,4
1999,CLCC1_HUMAN,4
2000,CLIC4_HUMAN,4
2001,CLK2_HUMAN,4
2002,CLN6_HUMAN,4
2003,CNBP_HUMAN,4
2004,CNDD3_HUMAN,4
2005,COG3_HUMAN,4
2006,COMT_HUMAN,4
2007,COPE_HUMAN,4
2008,COPRS_HUMAN,4
2009,CP110_HUMAN,4
2010,CPNE3_HUMAN,4
2011,CPSF6_HUMAN,4
2012,CQ085_HUMAN,4
2013,CS024_HUMAN,4
2014,CS043_HUMAN,4
2015,CS047_HUMAN,4
2016,CSK2B_HUMAN,4
2017,CSPP1_HUMAN,4
2018,CUL3_HUMAN,4
2019,CWC25_HUMAN,4
2020,CXAR_HUMAN,4
2021,CXCR4_HUMAN,4
2022,CYBP_HUMAN,4
2023,DAB2P_HUMAN,4
2024,DCA10_HUMAN,4
2025,DCAF7_HUMAN,4
2026,DCK_HUMAN,4
2027,DCNL5_HUMAN,4
2028,DDB1_HUMAN,4
2029,DDX3Y_HUMAN,4
2030,DDX51_HUMAN,4
2031,DEK_HUMAN,4
2032,DHX15_HUMAN,4
2033,DLG1_HUMAN,4
2034,DOCK6_HUMAN,4
2035,DOS_HUMAN,4
2036,DPOD3_HUMAN,4
2037,DPOLA_HUMAN,4
2038,DTNA_HUMAN,4
2039,DTX3L_HUMAN,4
2040,DVL2_HUMAN,4
2041,DYR1A_HUMAN,4
2042,E2F7_HUMAN,4
2043,ECHM_HUMAN,4
2044,EED_HUMAN,4
2045,EHMT1_HUMAN,4
2046,ELMO1_HUMAN,4
2047,ELP1_HUMAN,4
2048,ENOB_HUMAN,4
2049,EPN1_HUMAN,4
2050,ERCC6_HUMAN,4
2051,ERF3A_HUMAN,4
2052,ES8L1_HUMAN,4
2053,EVI2B_HUMAN,4
2054,EXO1_HUMAN,4
2055,F126B_HUMAN,4
2056,F134C_HUMAN,4
2057,F169A_HUMAN,4
2058,FA21B_HUMAN,4
2059,FAK2_HUMAN,4
2060,FARP2_HUMAN,4
2061,FBX28_HUMAN,4
2062,FHOD1_HUMAN,4
2063,FKBP3_HUMAN,4
2064,FOG1_HUMAN,4
2065,FOXO3_HUMAN,4
2066,FRM4A_HUMAN,4
2067,FRMD6_HUMAN,4
2068,FRY_HUMAN,4
2069,FUMH_HUMAN,4
2070,FUND2_HUMAN,4
2071,FYB_HUMAN,4
2072,FZD6_HUMAN,4
2073,G6PI_HUMAN,4
2074,GA2L1_HUMAN,4
2075,GAB3_HUMAN,4
2076,GANP_HUMAN,4
2077,GATA3_HUMAN,4
2078,GDIR1_HUMAN,4
2079,GFPT2_HUMAN,4
2080,GGA3_HUMAN,4
2081,GL1AD_HUMAN,4
2082,GLYR1_HUMAN,4
2083,GRAM4_HUMAN,4
2084,GRM1A_HUMAN,4
2085,GSCR1_HUMAN,4
2086,H11_HUMAN,4
2087,H33_HUMAN,4
2088,HACD3_HUMAN,4
2089,HAT1_HUMAN,4
2090,HEAT1_HUMAN,4
2091,HELLS_HUMAN,4
2092,HINT1_HUMAN,4
2093,HMCES_HUMAN,4
2094,HMDH_HUMAN,4
2095,HNRCL_HUMAN,4
2096,HNRLL_HUMAN,4
2097,IBTK_HUMAN,4
2098,IF4A2_HUMAN,4
2099,IF6_HUMAN,4
2100,IGHG1_HUMAN,4
2101,IGKC_HUMAN,4
2102,IKKB_HUMAN,4
2103,IMA3_HUMAN,4
2104,IN80B_HUMAN,4
2105,INT12_HUMAN,4
2106,IQGA1_HUMAN,4
2107,JIP3_HUMAN,4
2108,JUND_HUMAN,4
2109,K22E_HUMAN,4
2110,K2C80_HUMAN,4
2111,KC1D_HUMAN,4
2112,KDM3A_HUMAN,4
2113,KDM5C_HUMAN,4
2114,KINH_HUMAN,4
2115,KLC1_HUMAN,4
2116,KLRG2_HUMAN,4
2117,KPCI_HUMAN,4
2118,KPRB_HUMAN,4
2119,LAP2_HUMAN,4
2120,LAR1B_HUMAN,4
2121,LAS1L_HUMAN,4
2122,LCP2_HUMAN,4
2123,LEG1_HUMAN,4
2124,LMBL3_HUMAN,4
2125,LRP6_HUMAN,4
2126,M3K1_HUMAN,4
2127,M3K3_HUMAN,4
2128,MAGD2_HUMAN,4
2129,MAGI1_HUMAN,4
2130,MAML1_HUMAN,4
2131,MAP2_HUMAN,4
2132,MAST3_HUMAN,4
2133,MBD4_HUMAN,4
2134,MCM5_HUMAN,4
2135,MCM7_HUMAN,4
2136,MDM4_HUMAN,4
2137,MECP2_HUMAN,4
2138,MED14_HUMAN,4
2139,MFR1L_HUMAN,4
2140,MGRN1_HUMAN,4
2141,MID51_HUMAN,4
2142,ML12A_HUMAN,4
2143,MLC1_HUMAN,4
2144,MLF2_HUMAN,4
2145,MOD5_HUMAN,4
2146,MRCKB_HUMAN,4
2147,MS18B_HUMAN,4
2148,MS3L1_HUMAN,4
2149,MSH2_HUMAN,4
2150,MSL2_HUMAN,4
2151,MTM1_HUMAN,4
2152,MTMR1_HUMAN,4
2153,MTMRC_HUMAN,4
2154,MYL9_HUMAN,4
2155,MYOF_HUMAN,4
2156,NAA50_HUMAN,4
2157,NACC1_HUMAN,4
2158,NEK1_HUMAN,4
2159,NEO1_HUMAN,4
2160,NFIA_HUMAN,4
2161,NFIX_HUMAN,4
2162,NHS_HUMAN,4
2163,NOM1_HUMAN,4
2164,NOP14_HUMAN,4
2165,NS1BP_HUMAN,4
2166,NTF2_HUMAN,4
2167,NTH_HUMAN,4
2168,NU133_HUMAN,4
2169,NU188_HUMAN,4
2170,NU205_HUMAN,4
2171,NUP50_HUMAN,4
2172,OSBL5_HUMAN,4
2173,OSBL6_HUMAN,4
2174,OTU7B_HUMAN,4
2175,P3C2B_HUMAN,4
2176,PA24A_HUMAN,4
2177,PALM_HUMAN,4
2178,PCNT_HUMAN,4
2179,PDLI1_HUMAN,4
2180,PDZD8_HUMAN,4
2181,PEG10_HUMAN,4
2182,PER2_HUMAN,4
2183,PGM2L_HUMAN,4
2184,PHAX_HUMAN,4
2185,PHF23_HUMAN,4
2186,PHLP1_HUMAN,4
2187,PI51A_HUMAN,4
2188,PITM1_HUMAN,4
2189,PKHA2_HUMAN,4
2190,PKHG2_HUMAN,4
2191,PKN2_HUMAN,4
2192,PLIN3_HUMAN,4
2193,PLPL2_HUMAN,4
2194,PMS2_HUMAN,4
2195,PNKP_HUMAN,4
2196,PNPH_HUMAN,4
2197,POTEE_HUMAN,4
2198,POTEJ_HUMAN,4
2199,PP14B_HUMAN,4
2200,PP1RB_HUMAN,4
2201,PPID_HUMAN,4
2202,PPIL4_HUMAN,4
2203,PPR1A_HUMAN,4
2204,PPR37_HUMAN,4
2205,PPR3D_HUMAN,4
2206,PR38A_HUMAN,4
2207,PR40B_HUMAN,4
2208,PRDX4_HUMAN,4
2209,PRDX5_HUMAN,4
2210,PRP6_HUMAN,4
2211,PRPS1_HUMAN,4
2212,PRS6B_HUMAN,4
2213,PSA1_HUMAN,4
2214,PSMD4_HUMAN,4
2215,PSMF1_HUMAN,4
2216,PSRC1_HUMAN,4
2217,PTN1_HUMAN,4
2218,PTN21_HUMAN,4
2219,PTSS1_HUMAN,4
2220,PUF60_HUMAN,4
2221,RABP2_HUMAN,4
2222,RAGP1_HUMAN,4
2223,RASA3_HUMAN,4
2224,RAVR1_HUMAN,4
2225,RBBP4_HUMAN,4
2226,RBM12_HUMAN,4
2227,RBM40_HUMAN,4
2228,RBM5_HUMAN,4
2229,RECQ5_HUMAN,4
2230,REN3B_HUMAN,4
2231,RENT1_HUMAN,4
2232,REXO4_HUMAN,4
2233,RFTN1_HUMAN,4
2234,RGPD3_HUMAN,4
2235,RGPD5_HUMAN,4
2236,RHG19_HUMAN,4
2237,RHG28_HUMAN,4
2238,RING2_HUMAN,4
2239,RL22_HUMAN,4
2240,RL24_HUMAN,4
2241,RL26L_HUMAN,4
2242,RL27A_HUMAN,4
2243,RL27_HUMAN,4
2244,RL28_HUMAN,4
2245,RLF_HUMAN,4
2246,RN169_HUMAN,4
2247,RO60_HUMAN,4
2248,RPN2_HUMAN,4
2249,RRN3_HUMAN,4
2250,RS10_HUMAN,4
2251,RS27A_HUMAN,4
2252,RS4Y2_HUMAN,4
2253,RS7_HUMAN,4
2254,RTKN_HUMAN,4
2255,S10AE_HUMAN,4
2256,S12A7_HUMAN,4
2257,S20A2_HUMAN,4
2258,S30BP_HUMAN,4
2259,S6A15_HUMAN,4
2260,S7A6O_HUMAN,4
2261,SATB1_HUMAN,4
2262,SBNO1_HUMAN,4
2263,SC22B_HUMAN,4
2264,SCAF8_HUMAN,4
2265,SDK2_HUMAN,4
2266,SEC62_HUMAN,4
2267,SENP7_HUMAN,4
2268,SETLP_HUMAN,4
2269,SH23A_HUMAN,4
2270,SIR6_HUMAN,4
2271,SLK_HUMAN,4
2272,SMG7_HUMAN,4
2273,SMRD1_HUMAN,4
2274,SNUT2_HUMAN,4
2275,SO4A1_HUMAN,4
2276,SODC_HUMAN,4
2277,SOX2_HUMAN,4
2278,STA5B_HUMAN,4
2279,STK26_HUMAN,4
2280,STK39_HUMAN,4
2281,STK4_HUMAN,4
2282,STOX2_HUMAN,4
2283,STRN3_HUMAN,4
2284,STRP1_HUMAN,4
2285,SUCO_HUMAN,4
2286,SWAHC_HUMAN,4
2287,SYFB_HUMAN,4
2288,SYHM_HUMAN,4
2289,SYK_HUMAN,4
2290,SYNJ1_HUMAN,4
2291,SYWC_HUMAN,4
2292,TADBP_HUMAN,4
2293,TAF12_HUMAN,4
2294,TAF2_HUMAN,4
2295,TAF3_HUMAN,4
2296,TAF6_HUMAN,4
2297,TBC15_HUMAN,4
2298,TERF2_HUMAN,4
2299,TF3B_HUMAN,4
2300,TGFI1_HUMAN,4
2301,TGS1_HUMAN,4
2302,THIL_HUMAN,4
2303,THOP1_HUMAN,4
2304,THYN1_HUMAN,4
2305,TNK1_HUMAN,4
2306,TNR6C_HUMAN,4
2307,TOM34_HUMAN,4
2308,TOPB1_HUMAN,4
2309,TOX4_HUMAN,4
2310,TPC10_HUMAN,4
2311,TPD53_HUMAN,4
2312,TPPC8_HUMAN,4
2313,TRAM1_HUMAN,4
2314,TRFL_HUMAN,4
2315,TRI25_HUMAN,4
2316,TRIM3_HUMAN,4
2317,TRUA_HUMAN,4
2318,TTC33_HUMAN,4
2319,TTF2_HUMAN,4
2320,UB2J1_HUMAN,4
2321,UBAC1_HUMAN,4
2322,UBE2N_HUMAN,4
2323,UBP11_HUMAN,4
2324,UBP34_HUMAN,4
2325,UBP47_HUMAN,4
2326,UBP51_HUMAN,4
2327,UBP5_HUMAN,4
2328,UGDH_HUMAN,4
2329,UHRF1_HUMAN,4
2330,UNK_HUMAN,4
2331,UT14A_HUMAN,4
2332,VAT1L_HUMAN,4
2333,WDR3_HUMAN,4
2334,WDR43_HUMAN,4
2335,WDR74_HUMAN,4
2336,WIPF2_HUMAN,4
2337,WNK2_HUMAN,4
2338,WWTR1_HUMAN,4
2339,XPC_HUMAN,4
2340,XRCC4_HUMAN,4
2341,YJ005_HUMAN,4
2342,YS027_HUMAN,4
2343,YYAP1_HUMAN,4
2344,ZBT48_HUMAN,4
2345,ZEP2_HUMAN,4
2346,ZKSC1_HUMAN,4
2347,ZN326_HUMAN,4
2348,ZN800_HUMAN,4
2349,ZNT1_HUMAN,4
2350,ZXDC_HUMAN,4
2351,1433S_HUMAN,3
2352,2ABA_HUMAN,3
2353,3MG_HUMAN,3
2354,6PGD_HUMAN,3
2355,AAGAB_HUMAN,3
2356,ACKR3_HUMAN,3
2357,ADHX_HUMAN,3
2358,ADT1_HUMAN,3
2359,ADT2_HUMAN,3
2360,ADT3_HUMAN,3
2361,AF17_HUMAN,3
2362,AGGF1_HUMAN,3
2363,AKIB1_HUMAN,3
2364,ALKB5_HUMAN,3
2365,ALMS1_HUMAN,3
2366,AMRA1_HUMAN,3
2367,AN33B_HUMAN,3
2368,ANM3_HUMAN,3
2369,ANR11_HUMAN,3
2370,ANR12_HUMAN,3
2371,ANR26_HUMAN,3
2372,ANR50_HUMAN,3
2373,ANT3_HUMAN,3
2374,AP2C_HUMAN,3
2375,AP4AT_HUMAN,3
2376,APBB2_HUMAN,3
2377,APLP2_HUMAN,3
2378,APOB_HUMAN,3
2379,ARAP3_HUMAN,3
2380,ARF1_HUMAN,3
2381,ARF3_HUMAN,3
2382,ARFP1_HUMAN,3
2383,ARHG1_HUMAN,3
2384,ARP19_HUMAN,3
2385,ARP3_HUMAN,3
2386,ARP8_HUMAN,3
2387,ARVC_HUMAN,3
2388,ASF1A_HUMAN,3
2389,ASUN_HUMAN,3
2390,AT11C_HUMAN,3
2391,AT1A1_HUMAN,3
2392,AT7L3_HUMAN,3
2393,ATX1_HUMAN,3
2394,AXIN1_HUMAN,3
2395,B2MG_HUMAN,3
2396,BCL3_HUMAN,3
2397,BCORL_HUMAN,3
2398,BICD1_HUMAN,3
2399,BORG1_HUMAN,3
2400,BORG2_HUMAN,3
2401,C19L2_HUMAN,3
2402,CA052_HUMAN,3
2403,CA106_HUMAN,3
2404,CAMKV_HUMAN,3
2405,CAPON_HUMAN,3
2406,CAR11_HUMAN,3
2407,CASC4_HUMAN,3
2408,CATIN_HUMAN,3
2409,CAZA1_HUMAN,3
2410,CAZA2_HUMAN,3
2411,CBX5_HUMAN,3
2412,CC120_HUMAN,3
2413,CC130_HUMAN,3
2414,CCD12_HUMAN,3
2415,CCD14_HUMAN,3
2416,CCM2_HUMAN,3
2417,CD97_HUMAN,3
2418,CDK7_HUMAN,3
2419,CDK9_HUMAN,3
2420,CDKL5_HUMAN,3
2421,CDS2_HUMAN,3
2422,CENPB_HUMAN,3
2423,CEP55_HUMAN,3
2424,CEP57_HUMAN,3
2425,CG043_HUMAN,3
2426,CG050_HUMAN,3
2427,CHK1_HUMAN,3
2428,CHTOP_HUMAN,3
2429,CL043_HUMAN,3
2430,CLCN7_HUMAN,3
2431,CLD3_HUMAN,3
2432,CLK1_HUMAN,3
2433,CLK4_HUMAN,3
2434,CNDH2_HUMAN,3
2435,CNN2_HUMAN,3
2436,CNNM3_HUMAN,3
2437,CNO10_HUMAN,3
2438,CNTLN_HUMAN,3
2439,CO039_HUMAN,3
2440,COF2_HUMAN,3
2441,COG5_HUMAN,3
2442,COM1_HUMAN,3
2443,COR1B_HUMAN,3
2444,COTL1_HUMAN,3
2445,CP250_HUMAN,3
2446,CPNE2_HUMAN,3
2447,CPVL_HUMAN,3
2448,CR025_HUMAN,3
2449,CRBG3_HUMAN,3
2450,CROCC_HUMAN,3
2451,CSK23_HUMAN,3
2452,CSTFT_HUMAN,3
2453,CTR2_HUMAN,3
2454,CTU2_HUMAN,3
2455,CU025_HUMAN,3
2456,CU136_HUMAN,3
2457,CX023_HUMAN,3
2458,CXXC1_HUMAN,3
2459,DBP_HUMAN,3
2460,DCA12_HUMAN,3
2461,DCP2_HUMAN,3
2462,DDA1_HUMAN,3
2463,DDB2_HUMAN,3
2464,DDX46_HUMAN,3
2465,DEN1C_HUMAN,3
2466,DENR_HUMAN,3
2467,DHX29_HUMAN,3
2468,DI3L2_HUMAN,3
2469,DJB11_HUMAN,3
2470,DJC21_HUMAN,3
2471,DMWD_HUMAN,3
2472,DMXL1_HUMAN,3
2473,DMXL2_HUMAN,3
2474,DOP2_HUMAN,3
2475,DP13A_HUMAN,3
2476,DPOD1_HUMAN,3
2477,DPOLM_HUMAN,3
2478,DPPA4_HUMAN,3
2479,DTBP1_HUMAN,3
2480,DVL3_HUMAN,3
2481,E2AK3_HUMAN,3
2482,E2F8_HUMAN,3
2483,EAF2_HUMAN,3
2484,EFS_HUMAN,3
2485,EI2BA_HUMAN,3
2486,EIF3E_HUMAN,3
2487,EM55_HUMAN,3
2488,ENL_HUMAN,3
2489,EPHB4_HUMAN,3
2490,EPN2_HUMAN,3
2491,EPN3_HUMAN,3
2492,EPS8_HUMAN,3
2493,ESRP2_HUMAN,3
2494,EST1A_HUMAN,3
2495,ETFA_HUMAN,3
2496,F101B_HUMAN,3
2497,F102A_HUMAN,3
2498,F134A_HUMAN,3
2499,F16P1_HUMAN,3
2500,F262_HUMAN,3
2501,F91A1_HUMAN,3
2502,FA76B_HUMAN,3
2503,FAF1_HUMAN,3
2504,FBXW9_HUMAN,3
2505,FCHO1_HUMAN,3
2506,FEZ1_HUMAN,3
2507,FGD5_HUMAN,3
2508,FLCN_HUMAN,3
2509,FND3A_HUMAN,3
2510,FNIP1_HUMAN,3
2511,FP100_HUMAN,3
2512,FPRP_HUMAN,3
2513,FSIP2_HUMAN,3
2514,GAK_HUMAN,3
2515,GASP2_HUMAN,3
2516,GBB1_HUMAN,3
2517,GCN1L_HUMAN,3
2518,GDAP1_HUMAN,3
2519,GDF3_HUMAN,3
2520,GDIR2_HUMAN,3
2521,GLI2_HUMAN,3
2522,GNL3_HUMAN,3
2523,GOGB1_HUMAN,3
2524,GORS1_HUMAN,3
2525,GPBL1_HUMAN,3
2526,GPN1_HUMAN,3
2527,GSCR2_HUMAN,3
2528,GSTM3_HUMAN,3
2529,H2A2C_HUMAN,3
2530,H2B1J_HUMAN,3
2531,H2B1K_HUMAN,3
2532,H31T_HUMAN,3
2533,H31_HUMAN,3
2534,H3C_HUMAN,3
2535,HASP_HUMAN,3
2536,HBS1L_HUMAN,3
2537,HDAC9_HUMAN,3
2538,HERC1_HUMAN,3
2539,HEXI2_HUMAN,3
2540,HGB1A_HUMAN,3
2541,HIRA_HUMAN,3
2542,HM20A_HUMAN,3
2543,HMGB2_HUMAN,3
2544,HORN_HUMAN,3
2545,HPS5_HUMAN,3
2546,HS71B_HUMAN,3
2547,HS71L_HUMAN,3
2548,HSP76_HUMAN,3
2549,HSP77_HUMAN,3
2550,ICEF1_HUMAN,3
2551,IDI1_HUMAN,3
2552,IF16_HUMAN,3
2553,IF2A_HUMAN,3
2554,IF5_HUMAN,3
2555,IGHG4_HUMAN,3
2556,IL16_HUMAN,3
2557,ILF2_HUMAN,3
2558,IN80C_HUMAN,3
2559,INT10_HUMAN,3
2560,INVS_HUMAN,3
2561,IQGA2_HUMAN,3
2562,IQGA3_HUMAN,3
2563,ITPR1_HUMAN,3
2564,JMY_HUMAN,3
2565,K0195_HUMAN,3
2566,K0556_HUMAN,3
2567,K0753_HUMAN,3
2568,K1211_HUMAN,3
2569,K1958_HUMAN,3
2570,K1C14_HUMAN,3
2571,KAD2_HUMAN,3
2572,KANL3_HUMAN,3
2573,KAT5_HUMAN,3
2574,KAT6B_HUMAN,3
2575,KAZRN_HUMAN,3
2576,KCC1A_HUMAN,3
2577,KCC2G_HUMAN,3
2578,KCD12_HUMAN,3
2579,KCNJ8_HUMAN,3
2580,KCNK2_HUMAN,3
2581,KCNQ5_HUMAN,3
2582,KHNYN_HUMAN,3
2583,KI13B_HUMAN,3
2584,KI20A_HUMAN,3
2585,KIF14_HUMAN,3
2586,KIF1B_HUMAN,3
2587,KIF5C_HUMAN,3
2588,KITH_HUMAN,3
2589,KIT_HUMAN,3
2590,LATS2_HUMAN,3
2591,LC7L3_HUMAN,3
2592,LEMD2_HUMAN,3
2593,LIMC1_HUMAN,3
2594,LIMK1_HUMAN,3
2595,LIN41_HUMAN,3
2596,LKHA4_HUMAN,3
2597,LMO7_HUMAN,3
2598,LN28B_HUMAN,3
2599,LNP_HUMAN,3
2600,LRC41_HUMAN,3
2601,LSM11_HUMAN,3
2602,LSM12_HUMAN,3
2603,LUC7L_HUMAN,3
2604,LZTS1_HUMAN,3
2605,M4K5_HUMAN,3
2606,MACOI_HUMAN,3
2607,MAF1_HUMAN,3
2608,MARF1_HUMAN,3
2609,MARK1_HUMAN,3
2610,MAZ_HUMAN,3
2611,MCM9_HUMAN,3
2612,MD13L_HUMAN,3
2613,MD1L1_HUMAN,3
2614,MDN1_HUMAN,3
2615,MEA1_HUMAN,3
2616,MED15_HUMAN,3
2617,MET16_HUMAN,3
2618,MEX3D_HUMAN,3
2619,MFF_HUMAN,3
2620,MIC19_HUMAN,3
2621,MICA1_HUMAN,3
2622,MIF_HUMAN,3
2623,MIIP_HUMAN,3
2624,MKNK2_HUMAN,3
2625,MNDA_HUMAN,3
2626,MON1B_HUMAN,3
2627,MORC3_HUMAN,3
2628,MOT1_HUMAN,3
2629,MPIP3_HUMAN,3
2630,MRCKG_HUMAN,3
2631,MRP5_HUMAN,3
2632,MS3L2_HUMAN,3
2633,MSD3_HUMAN,3
2634,MTG8R_HUMAN,3
