,Protein,Number_of_detected_peptides
374,NFAC2_HUMAN,17
375,NTAL_HUMAN,17
376,PA2G4_HUMAN,17
377,PPIA_HUMAN,17
378,PRDX6_HUMAN,17
379,PYR1_HUMAN,17
380,ROA3_HUMAN,17
381,SLX4_HUMAN,17
382,SRCAP_HUMAN,17
383,SRS11_HUMAN,17
384,SRSF1_HUMAN,17
385,T2FA_HUMAN,17
386,TACC3_HUMAN,17
387,TCF20_HUMAN,17
388,TRIPC_HUMAN,17
389,WDHD1_HUMAN,17
390,YBOX3_HUMAN,17
391,ZN217_HUMAN,17
392,1433Z_HUMAN,16
393,ANS1A_HUMAN,16
394,CATD_HUMAN,16
395,CBX3_HUMAN,16
396,CENPC_HUMAN,16
397,CHSP1_HUMAN,16
398,CSKI2_HUMAN,16
399,DGCR8_HUMAN,16
400,DNLI3_HUMAN,16
401,EDC4_HUMAN,16
402,EF1B_HUMAN,16
403,EHMT2_HUMAN,16
404,EPIPL_HUMAN,16
405,FKB15_HUMAN,16
406,FXR1_HUMAN,16
407,GSTP1_HUMAN,16
408,H4_HUMAN,16
409,HECD1_HUMAN,16
410,HNRH1_HUMAN,16
411,HNRPL_HUMAN,16
412,HSP74_HUMAN,16
413,ITSN1_HUMAN,16
414,JPH1_HUMAN,16
415,KI21A_HUMAN,16
416,LAD1_HUMAN,16
417,MOES_HUMAN,16
418,MTCL1_HUMAN,16
419,MY18A_HUMAN,16
420,NGAP_HUMAN,16
421,NIBAN_HUMAN,16
422,PAK2_HUMAN,16
423,PAK4_HUMAN,16
424,PCNP_HUMAN,16
425,PGRC1_HUMAN,16
426,PKHA6_HUMAN,16
427,RBM10_HUMAN,16
428,RBM39_HUMAN,16
429,RGPS2_HUMAN,16
430,RHG21_HUMAN,16
431,RS6_HUMAN,16
432,SALL4_HUMAN,16
433,SET_HUMAN,16
434,SMRC1_HUMAN,16
435,SRSF7_HUMAN,16
436,STIP1_HUMAN,16
437,TAU_HUMAN,16
438,TF3C1_HUMAN,16
439,ZBT21_HUMAN,16
440,AAK1_HUMAN,15
441,ARAF_HUMAN,15
442,ARFG1_HUMAN,15
443,ARI3A_HUMAN,15
444,ATAD2_HUMAN,15
445,CD2AP_HUMAN,15
446,CING_HUMAN,15
447,CPZIP_HUMAN,15
448,CTR9_HUMAN,15
449,DEN4C_HUMAN,15
450,DESP_HUMAN,15
451,E41L1_HUMAN,15
452,EP400_HUMAN,15
453,FANCJ_HUMAN,15
454,FLNC_HUMAN,15
455,GRP75_HUMAN,15
456,GSE1_HUMAN,15
457,HDAC1_HUMAN,15
458,HDAC2_HUMAN,15
459,HN1_HUMAN,15
460,HTSF1_HUMAN,15
461,IF2B1_HUMAN,15
462,IMDH2_HUMAN,15
463,KDIS_HUMAN,15
464,KIF23_HUMAN,15
465,LARP4_HUMAN,15
466,M18BP_HUMAN,15
467,MARK2_HUMAN,15
468,MBP_HUMAN,15
469,MINK1_HUMAN,15
470,MYCPP_HUMAN,15
471,NIPBL_HUMAN,15
472,NOC2L_HUMAN,15
473,NUP98_HUMAN,15
474,PERQ1_HUMAN,15
475,PSD4_HUMAN,15
476,PYRG1_HUMAN,15
477,RHG04_HUMAN,15
478,RL4_HUMAN,15
479,RPA43_HUMAN,15
480,SEPT9_HUMAN,15
481,SERPH_HUMAN,15
482,SIPA1_HUMAN,15
483,SPTN1_HUMAN,15
484,TAGL2_HUMAN,15
485,TBB2A_HUMAN,15
486,TBCD5_HUMAN,15
487,TCPE_HUMAN,15
488,TCPG_HUMAN,15
489,THOC2_HUMAN,15
490,ZN592_HUMAN,15
491,ABLM1_HUMAN,14
492,ACLY_HUMAN,14
493,ARFG2_HUMAN,14
494,ATPA_HUMAN,14
495,BCAP_HUMAN,14
496,BIN2_HUMAN,14
497,BPTF_HUMAN,14
498,BRSK2_HUMAN,14
499,CALD1_HUMAN,14
500,CHERP_HUMAN,14
501,ERF_HUMAN,14
502,GBF1_HUMAN,14
503,GBLP_HUMAN,14
504,H14_HUMAN,14
505,HNRL2_HUMAN,14
506,HNRPD_HUMAN,14
507,HS105_HUMAN,14
508,IKZF1_HUMAN,14
509,LRC47_HUMAN,14
510,LSR_HUMAN,14
511,MIA3_HUMAN,14
512,MILK1_HUMAN,14
513,MTA1_HUMAN,14
514,NCOA3_HUMAN,14
515,NHRF1_HUMAN,14
516,NUFP2_HUMAN,14
517,POGZ_HUMAN,14
518,PRDX1_HUMAN,14
519,PSPC1_HUMAN,14
520,PTN13_HUMAN,14
521,RHG17_HUMAN,14
522,RL3_HUMAN,14
523,RPA34_HUMAN,14
524,SALL3_HUMAN,14
525,SKT_HUMAN,14
526,SLAI2_HUMAN,14
527,SMCA5_HUMAN,14
528,SMRC2_HUMAN,14
529,SNW1_HUMAN,14
530,SRSF2_HUMAN,14
531,TBB5_HUMAN,14
532,TBX2_HUMAN,14
533,TCPA_HUMAN,14
534,TCPQ_HUMAN,14
535,TF3C2_HUMAN,14
536,TMX1_HUMAN,14
537,UBP32_HUMAN,14
538,ACTN4_HUMAN,13
539,AFF4_HUMAN,13
540,ARHG6_HUMAN,13
541,BAD_HUMAN,13
542,BI2L1_HUMAN,13
543,BIN1_HUMAN,13
544,BORG4_HUMAN,13
545,BRWD1_HUMAN,13
546,CCAR2_HUMAN,13
547,CDV3_HUMAN,13
548,CLIP1_HUMAN,13
549,CLSPN_HUMAN,13
550,CP131_HUMAN,13
551,CT2NL_HUMAN,13
552,DDX17_HUMAN,13
553,DDX3X_HUMAN,13
554,EIF3A_HUMAN,13
555,EVL_HUMAN,13
556,F122B_HUMAN,13
557,F208B_HUMAN,13
558,FNBP1_HUMAN,13
559,HCFC1_HUMAN,13
560,IMA1_HUMAN,13
561,KDM2B_HUMAN,13
562,KLC2_HUMAN,13
563,KS6A1_HUMAN,13
564,KS6B1_HUMAN,13
565,LASP1_HUMAN,13
566,M3K2_HUMAN,13
567,MADD_HUMAN,13
568,MGAP_HUMAN,13
569,NAB2_HUMAN,13
570,NP1L1_HUMAN,13
571,NP1L4_HUMAN,13
572,NSUN2_HUMAN,13
